"","north.Species","north.Camr_Nm","north.Latitud","north.Longitd","na.rm"
"61443","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61444","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61445","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61449","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61450","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61451","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61467","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61468","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61469","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61476","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61477","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61478","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61491","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61492","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61493","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61500","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61501","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61502","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61503","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61504","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61505","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61506","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61507","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61508","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61512","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61513","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61514","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61554","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61555","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61556","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61590","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61591","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61592","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61593","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61594","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61595","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61599","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61600","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61601","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61617","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61618","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61619","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61620","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61621","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61622","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61623","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61624","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61625","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61644","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61645","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61646","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61665","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61666","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61667","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61698","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61699","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61700","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61701","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61702","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61703","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61707","Leopardus pardalis","LM4-5",9.775,-83.682,TRUE
"61715","Leopardus pardalis","LM4-5",9.775,-83.682,TRUE
"61731","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61732","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61733","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61734","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61737","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61738","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61739","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61740","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61741","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61744","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61745","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61746","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61747","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61748","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61749","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61750","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61751","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
